milage,fuel_type,transmission,accident,clean_title,age,depreciation_constant
350,Gasoline,Dual Shift,No,Yes,2,-0.1773677170315921
41452,Gasoline,Dual Shift,Yes,Yes,6,0.121665546946768
118600,Gasoline,Automatic,Yes,Yes,23,0.1163309253630545
23400,Gasoline,Automatic,No,Yes,4,0.0427276360699851
53000,Gasoline,Dual Shift,No,Yes,8,0.1044347378965157
51808,Gasoline,Automatic,No,Yes,4,0.0010417540058576
130000,Gasoline,Automatic,No,Yes,15,0.1464606076931302
22000,Hybrid,Automatic,No,Yes,5,0.0764059312886589
68200,Gasoline,Dual Shift,Yes,Yes,8,0.1259976365521814
87000,Gasoline,Automatic,Yes,Yes,12,0.1009529077964221
137825,Gasoline,Automatic,No,Yes,19,0.1421919161673159
3596,Gasoline,Automatic,No,No,4,-0.1242809476297557
56860,Gasoline,Automatic,Yes,Yes,12,0.1010140227110621
44300,Gasoline,Manual,No,Yes,8,0.0579040974343068
11250,Gasoline,Automatic,No,Yes,4,-0.0324765113381217
55000,Gasoline,Automatic,No,Yes,11,0.1181612735251221
12000,Gasoline,Automatic,Yes,Yes,3,-0.1024926776675017
23151,Gasoline,Automatic,No,Yes,8,0.080906491811838
152000,Gasoline,Automatic,Yes,Yes,12,0.1751446080439122
28399,Gasoline,Automatic,No,Yes,8,0.0553794724545053
136500,Gasoline,Manual,No,Yes,27,0.0641781214596532
11700,Gasoline,Automatic,No,Yes,3,0.0451701645059335
23700,Gasoline,Dual Shift,No,Yes,10,0.0835992539853876
71000,Gasoline,Automatic,No,Yes,9,0.1099835972683979
160900,Gasoline,Automatic,No,Yes,13,0.1143311996035769
600,Hybrid,Automatic,No,Yes,2,-0.0499850932524262
22300,Gasoline,Automatic,No,Yes,24,0.0431268032462605
24534,Gasoline,CVT,No,Yes,4,0.0319245506394055
58100,Gasoline,Automatic,No,Yes,7,0.1041598873890447
177000,E85 Flex Fuel,Automatic,Yes,Yes,18,0.0959780761286012
68653,Gasoline,Automatic,Yes,Yes,10,0.1136749944787341
151896,Gasoline,Automatic,No,Yes,21,0.0966078244435278
9500,Gasoline,Automatic,No,Yes,4,-0.0093676906345051
52375,Gasoline,Automatic,Yes,Yes,9,0.1165955648464276
1090,Electric,Automatic,No,Yes,2,-0.0233285839484886
43500,Gasoline,Dual Shift,No,Yes,6,0.1102101397273797
86000,Gasoline,Automatic,No,Yes,10,0.0508979853583162
15324,Gasoline,Automatic,Yes,No,5,0.0779107426459087
29400,Gasoline,Manual,No,Yes,12,0.053607218010858
68871,Gasoline,Automatic,No,Yes,8,0.0761681523625704
126000,Gasoline,Dual Shift,No,Yes,13,0.0873927957645615
27214,Gasoline,Dual Shift,Yes,Yes,7,0.0320909915924022
42728,Gasoline,Dual Shift,No,Yes,6,0.0156738631767871
97395,Gasoline,Manual,No,Yes,15,0.1446317232741909
91700,Gasoline,Automatic,No,Yes,10,0.1510905881369829
94500,Gasoline,Dual Shift,No,Yes,14,0.0542430697383579
196300,E85 Flex Fuel,Automatic,No,Yes,11,0.1452262434015609
54259,Gasoline,Automatic,No,Yes,10,0.1029251634904118
175000,Gasoline,Automatic,No,Yes,10,0.1731228860086307
32697,Gasoline,Automatic,Yes,Yes,7,0.0527703534830351
162000,Gasoline,Automatic,No,Yes,18,0.0259747295249189
110022,Gasoline,Manual,No,Yes,18,0.0945723036290319
2533,Gasoline,Automatic,No,Yes,2,-0.0184167131582755
96273,Gasoline,Automatic,Yes,Yes,11,0.1455217573537235
77107,Gasoline,Automatic,Unknown,No,4,0.0155694682588088
15055,Gasoline,Automatic,No,Yes,7,0.0825147374081445
67647,Electric,Automatic,No,Yes,10,0.1468417321149766
4665,Others,Automatic,No,No,3,0.1516007287203828
119850,Gasoline,Automatic,No,Yes,9,0.1140507250858499
94291,Gasoline,Automatic,No,Yes,17,0.0655845920649666
60000,Gasoline,Automatic,No,Yes,6,0.1262688208461266
75539,Gasoline,Manual,No,Yes,27,0.0705545011735014
110000,Gasoline,Dual Shift,No,Yes,10,0.089114873261043
105,Diesel,Automatic,No,Yes,3,-0.3893475852953696
43000,Gasoline,Manual,No,Yes,14,0.0328621339197144
31150,Gasoline,Dual Shift,No,Yes,8,0.0320016628037682
31350,Gasoline,Dual Shift,No,Yes,5,0.0672944473242425
67303,Gasoline,Automatic,No,Yes,17,0.104881149507123
16500,Gasoline,Automatic,No,Yes,2,-0.0973882886603241
2100,Gasoline,Automatic,No,Yes,2,-0.1146151761564452
34300,Hybrid,Automatic,No,Yes,5,0.0939578641137971
82000,Gasoline,Automatic,No,Yes,6,0.1042413389318715
104994,Hybrid,Automatic,No,Yes,12,0.1323871218409454
31500,Gasoline,Automatic,No,Yes,9,0.1125621436660107
490,Gasoline,Automatic,No,Yes,2,-0.0649956759421963
60000,Gasoline,Manual,No,Yes,24,0.0496785318554477
86000,Gasoline,Automatic,No,Yes,20,0.0602392903541473
125900,Gasoline,Automatic,No,Yes,12,0.1057843920677783
143290,Diesel,Automatic,No,Yes,9,0.0532094054764781
71097,Gasoline,Automatic,No,Yes,11,0.1100863861674882
26609,Electric,Automatic,No,No,7,0.0275133573845962
129999,Gasoline,Manual,No,Yes,14,0.0706263393328017
95000,Gasoline,Automatic,No,Yes,7,0.0772557636251921
193827,Gasoline,Automatic,No,Yes,18,0.0522182705073044
60000,Gasoline,Automatic,No,Yes,9,0.0979348880237245
37216,Gasoline,Automatic,Yes,Yes,18,0.050947260913651
83000,Gasoline,Manual,No,Yes,22,0.0877714334232509
43329,Gasoline,Automatic,No,Yes,4,-0.0062469175232291
98000,Gasoline,Dual Shift,No,Yes,10,0.1096053384464596
48613,Gasoline,Automatic,Yes,Yes,5,0.1256098306669069
76200,Gasoline,Dual Shift,No,Yes,9,0.0981329706456719
105667,Gasoline,Automatic,No,Yes,6,0.1364189871159555
51338,Gasoline,Automatic,No,Yes,6,0.0953424276779845
116000,Gasoline,Manual,Yes,Yes,15,0.1042169565419745
77856,Gasoline,Automatic,No,Yes,9,0.0700825717492387
20069,Gasoline,Automatic,No,No,4,0.0398293005535628
98200,Gasoline,Automatic,No,Yes,14,0.0781497094591535
94000,Others,Automatic,No,Yes,30,0.0903344472803751
45303,Gasoline,Automatic,No,No,4,0.0739974980292877
53900,Gasoline,Automatic,No,Yes,9,0.0729677222518405
95500,Gasoline,Dual Shift,No,Yes,9,0.1203417277243311
48300,Gasoline,Automatic,No,Yes,4,0.0771422796816759
138700,Gasoline,CVT,Yes,Yes,15,0.1289775645399495
76249,Gasoline,Automatic,Yes,No,6,0.0837659549033063
81000,Gasoline,Manual,No,Yes,24,0.0311499559695541
3000,Gasoline,Automatic,No,Yes,3,0.0663006071722905
34600,Gasoline,Dual Shift,No,Yes,11,0.1154467046087521
84500,Gasoline,Automatic,No,Yes,11,0.0417869237018464
122348,Gasoline,Automatic,Yes,Yes,16,0.0931109757540884
98000,Gasoline,Dual Shift,No,Yes,10,0.1598866677748926
138000,Gasoline,Automatic,No,Yes,18,0.0948802720258128
92800,Gasoline,Automatic,No,Yes,28,0.0475562196042734
67350,Gasoline,Automatic,Yes,Yes,11,0.1207965041499632
66500,Gasoline,Manual,No,Yes,24,0.0569432563198134
60251,Gasoline,Automatic,Yes,Yes,10,0.1178007013166535
5093,Gasoline,Manual,No,Yes,4,0.0682146144614054
91000,E85 Flex Fuel,Automatic,No,Yes,8,0.0803632455153998
39517,Gasoline,Automatic,Yes,No,2,-0.0077846512560964
135000,Gasoline,Automatic,No,Yes,19,0.0506838749902643
41200,Gasoline,Dual Shift,No,Yes,6,0.1321753911591066
116500,Gasoline,Automatic,Yes,Yes,9,0.1412123452906654
53100,Gasoline,Automatic,No,Yes,7,0.0876496045709976
80134,E85 Flex Fuel,Automatic,No,Yes,8,0.0890093144677632
17500,Electric,Automatic,No,Yes,4,0.1365803648627077
27965,Gasoline,Automatic,No,Yes,8,0.1218264610113225
119000,E85 Flex Fuel,Automatic,Unknown,No,12,0.1469452721670071
5541,Gasoline,Automatic,No,No,5,0.072203097433525
68860,Gasoline,CVT,Yes,Yes,10,0.0755683699026843
21404,Electric,Automatic,No,Yes,3,0.1314623794473817
77945,Gasoline,Automatic,Yes,Yes,9,0.1429865667024094
121886,Gasoline,Automatic,Yes,Yes,22,0.1047046063535635
12941,Gasoline,Automatic,Yes,Yes,4,0.0451431137979193
43277,Gasoline,Automatic,No,No,5,0.0857704219922013
23600,Hybrid,Automatic,No,Yes,4,0.0914490555261599
8870,Gasoline,Automatic,No,Yes,6,0.0948669317768243
33500,Gasoline,Automatic,No,Yes,4,0.0548234743436879
4880,Gasoline,Automatic,No,No,5,0.0673161217740283
44800,Gasoline,Automatic,No,Yes,6,0.086877066537967
6246,Gasoline,Automatic,No,Yes,5,-0.0084709719988806
20172,Gasoline,Dual Shift,No,Yes,8,0.007122138856981
1025,Hybrid,Automatic,No,Yes,2,-0.0502612821188491
53550,Gasoline,Automatic,No,Yes,5,0.0606677186675035
25352,Gasoline,Automatic,No,Yes,4,-0.0324214400659275
170443,Others,Automatic,Yes,Yes,31,0.0610389658233826
88000,Gasoline,Automatic,No,Yes,11,0.1378586405077214
22703,Gasoline,Manual,No,Yes,20,0.0441330308355241
11200,Electric,Automatic,No,Yes,4,0.1230635595451388
56536,Gasoline,Automatic,No,No,5,0.1138675616728478
137000,Gasoline,Automatic,No,Yes,8,0.1639480669750212
49208,Gasoline,Dual Shift,No,Yes,6,0.1269549793042663
50400,Gasoline,Dual Shift,No,Yes,7,0.1022744236838695
143898,Gasoline,Automatic,No,Yes,14,0.1520883018768052
35000,Gasoline,Automatic,No,Yes,11,0.0778322142488153
2235,Hybrid,Dual Shift,No,Yes,3,0.0174963143170689
121521,Gasoline,Automatic,No,Yes,6,0.1701728307508292
64500,Gasoline,Manual,Yes,Yes,17,0.057299284152963
102000,Gasoline,Manual,No,Yes,18,0.0238762425276396
152195,Gasoline,Automatic,No,Yes,27,0.0758066695415508
95271,E85 Flex Fuel,Automatic,Unknown,No,10,0.0930276528263653
8984,Gasoline,Automatic,No,No,7,0.0632263075398664
24207,Gasoline,Automatic,No,Yes,4,-0.0050295318026775
9411,Others,Automatic,No,No,3,0.1417334881812151
21000,Gasoline,Manual,No,Yes,19,0.0419535952850284
106000,Gasoline,Manual,Yes,Yes,11,0.0948940609270862
92728,Gasoline,Automatic,No,Yes,8,0.1153531511901854
17000,Gasoline,Automatic,No,Yes,3,-0.0066260282294905
78500,Gasoline,Automatic,Yes,Yes,11,0.1247713051512206
7982,Gasoline,Automatic,Unknown,No,13,0.040684049362848
57785,Hybrid,Automatic,No,Yes,5,0.1230544426104858
25997,Gasoline,Automatic,No,Yes,4,0.0623450618340932
139116,Gasoline,Automatic,Yes,Yes,6,0.0559514770784267
36700,Gasoline,Automatic,Yes,Yes,6,0.0686401007454749
48054,Gasoline,Automatic,No,Yes,26,0.0569590176927233
133598,Gasoline,Automatic,Yes,Yes,8,0.1342684988695763
83000,Gasoline,Automatic,Yes,Yes,13,0.080324940569517
24881,Gasoline,Dual Shift,Yes,Yes,9,0.0525867576710679
134000,Gasoline,Automatic,No,Yes,27,0.070258066644193
4590,Gasoline,Automatic,No,Yes,3,-0.0907327996489064
73500,Gasoline,Automatic,Yes,Yes,16,0.1011268157711671
29850,Gasoline,Automatic,No,Yes,7,0.1098148802974227
83000,Gasoline,Automatic,No,Yes,9,0.1302653683780173
80000,Gasoline,Automatic,No,Yes,13,0.0779985668096047
117000,Gasoline,Automatic,No,Yes,7,0.1770104355780955
59528,Gasoline,Automatic,No,Yes,4,0.0707592266394714
100312,Gasoline,Automatic,No,No,4,0.1094506909376969
15889,Gasoline,Automatic,No,Yes,11,0.0613728427456526
89726,Gasoline,Automatic,No,Yes,10,0.1305965154075995
128000,Gasoline,Automatic,No,Yes,13,0.1028684206165767
16200,Gasoline,Automatic,No,Yes,2,0.0740698090912337
29475,Gasoline,Automatic,No,Yes,7,0.0450711976551303
78717,Gasoline,Automatic,No,Yes,8,0.0940314149120658
102000,Gasoline,Automatic,No,Yes,12,0.0637620192193631
16113,Diesel,Automatic,No,Yes,3,-0.2742818389664605
49900,Others,Manual,Yes,Yes,30,0.0080340941450675
77690,Gasoline,Automatic,No,Yes,6,0.1473594898378605
165000,Gasoline,Automatic,No,Yes,27,0.0828985595640323
73000,Gasoline,Automatic,Yes,Yes,17,0.0754682809034284
43903,Gasoline,Automatic,Yes,Yes,12,0.0739003539181371
74381,Gasoline,Automatic,Yes,Yes,7,0.1338585131587139
23292,Gasoline,Automatic,No,Yes,4,0.054946384635653
162671,E85 Flex Fuel,Automatic,No,Yes,15,0.1243778677824066
46000,Hybrid,Automatic,No,Yes,6,0.077081442506837
18385,Gasoline,Automatic,No,Yes,4,0.0384949385662311
45000,Gasoline,Manual,No,Yes,18,0.0815566760887727
90000,Gasoline,Manual,Yes,Yes,18,0.0815731043826367
14586,Gasoline,Automatic,No,No,8,0.027358566163178
16700,Gasoline,Automatic,No,Yes,3,0.0356187236004618
62377,Gasoline,Automatic,No,Yes,4,0.1201214069634324
7250,Gasoline,Manual,No,Yes,3,0.0670637406059651
59459,Diesel,Automatic,Yes,Yes,11,0.0245975191005064
35943,Gasoline,Automatic,No,Yes,9,0.1149282197299515
121500,Gasoline,Automatic,No,Yes,11,0.0849735214646976
100,Diesel,Automatic,No,Yes,3,0.050671932345189
37000,Gasoline,Automatic,Yes,Yes,5,0.09699322612705
9728,Electric,Automatic,No,Yes,3,0.0216345410063643
146200,Gasoline,Automatic,No,Yes,9,0.1655516304087414
39000,Electric,Automatic,No,Yes,5,0.1082619429324069
55000,Gasoline,Automatic,No,Yes,8,0.0975302359263598
84054,Gasoline,CVT,No,Yes,7,0.0642130592763293
16100,Gasoline,Manual,No,Yes,22,0.0227034983451473
77000,Gasoline,CVT,Yes,Yes,6,0.108256860995856
20500,Gasoline,Automatic,No,Yes,6,0.0543640894725784
500,Electric,Automatic,No,Yes,3,0.1566315636167634
139200,Diesel,Automatic,Yes,Yes,9,0.0998987869706778
93400,E85 Flex Fuel,Automatic,No,Yes,10,0.103299617361325
57300,Gasoline,Automatic,No,Yes,5,0.0503573716350704
170552,Gasoline,Automatic,Yes,Yes,29,0.0590275893591662
89500,Gasoline,Dual Shift,No,Yes,11,0.1327703417540129
27000,Hybrid,Automatic,No,Yes,4,0.0382918348409008
3300,Gasoline,Dual Shift,No,Yes,3,0.06567590139455
41615,Electric,Automatic,No,Yes,9,0.1351275978062299
50000,Gasoline,Automatic,Yes,Yes,6,0.1413168088589488
117000,Gasoline,Dual Shift,Yes,Yes,11,0.1334853906630264
15615,Hybrid,Automatic,No,Yes,4,0.038592608974726
113000,Gasoline,Manual,Yes,Yes,12,0.0666089480323613
10500,Gasoline,Dual Shift,Unknown,No,3,0.0663601135363031
61117,Gasoline,Automatic,No,Yes,4,0.118254913538038
142000,Gasoline,Manual,Yes,Yes,22,0.1063527475724592
11459,Gasoline,Automatic,No,Yes,4,0.0313817504617319
59271,Gasoline,Automatic,No,Yes,6,0.1480755733303925
105000,Gasoline,Automatic,No,Yes,14,0.1535126764546236
60660,Gasoline,Automatic,Yes,Yes,7,0.0663090064894447
53750,Gasoline,Automatic,No,Yes,5,0.1439148071800975
13735,Gasoline,Automatic,No,No,2,0.07598020607242
28000,Electric,Automatic,No,Yes,3,0.1818386032807815
23850,Diesel,Automatic,No,Yes,3,-0.060268971656517
1750,Gasoline,Automatic,No,Yes,3,-0.1375386899814806
130000,Gasoline,Automatic,Yes,Yes,18,0.1683328601397983
11089,Gasoline,Manual,No,No,3,-0.0162141539505837
35921,Gasoline,Automatic,No,No,4,-0.0025128776317098
1800,Gasoline,Automatic,Unknown,No,2,-0.1056529396359294
63875,Hybrid,Automatic,Yes,Yes,5,0.0578523938683796
12500,Hybrid,Automatic,No,Yes,2,-0.1117218031632731
13828,Hybrid,CVT,No,Yes,6,0.0611690551726922
399000,Diesel,Automatic,Yes,Yes,9,0.0879398242826372
3158,Gasoline,Automatic,No,Yes,3,-0.0365493396277579
12758,Gasoline,Automatic,No,Yes,5,0.0211573490952549
206000,Gasoline,Dual Shift,No,Yes,13,0.1793403992636315
37100,E85 Flex Fuel,Automatic,No,Yes,7,0.0690770463413216
66000,Gasoline,Automatic,No,Yes,13,0.0830424055335991
152000,Gasoline,Automatic,No,Yes,13,0.0984716195519653
71273,Gasoline,CVT,No,Yes,6,0.1431161794811673
7900,Gasoline,Automatic,No,Yes,3,-0.0608790941018949
118000,Gasoline,Automatic,No,Yes,18,0.1252193935338234
17300,Gasoline,Automatic,No,Yes,4,0.0403239002228014
90367,Gasoline,Manual,No,Yes,16,0.0690203541206373
36670,Gasoline,Dual Shift,No,Yes,11,0.0389099402499368
96343,Diesel,Automatic,Yes,Yes,8,0.0465462496999353
74600,Gasoline,Dual Shift,No,Yes,7,0.0484920010014814
92500,Gasoline,Dual Shift,No,Yes,21,0.1210561549827986
62930,Gasoline,Automatic,Yes,Yes,17,0.0878773424222683
49000,Gasoline,Automatic,No,Yes,5,0.0595154547556223
58000,Gasoline,Automatic,No,Yes,12,0.1367320828165449
